Time,Valley Library Electricity (kWh)
Mon Mar 09 2020 01:30:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 01:15:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 01:00:00 GMT-0700 (Pacific Daylight Time),60
Mon Mar 09 2020 00:45:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 00:30:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 00:15:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 00:00:00 GMT-0700 (Pacific Daylight Time),62
Sun Mar 08 2020 23:45:00 GMT-0700 (Pacific Daylight Time),62
Sun Mar 08 2020 23:30:00 GMT-0700 (Pacific Daylight Time),63
Sun Mar 08 2020 23:15:00 GMT-0700 (Pacific Daylight Time),63
Sun Mar 08 2020 23:00:00 GMT-0700 (Pacific Daylight Time),72
Sun Mar 08 2020 22:45:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 22:30:00 GMT-0700 (Pacific Daylight Time),76
Sun Mar 08 2020 22:15:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 22:00:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 21:45:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 21:30:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 21:15:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 21:00:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 20:45:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 20:30:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 20:15:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 20:00:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 19:45:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 19:30:00 GMT-0700 (Pacific Daylight Time),76
Sun Mar 08 2020 19:15:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 19:00:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 18:45:00 GMT-0700 (Pacific Daylight Time),76
Sun Mar 08 2020 18:30:00 GMT-0700 (Pacific Daylight Time),75
Sun Mar 08 2020 18:15:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 18:00:00 GMT-0700 (Pacific Daylight Time),76
Sun Mar 08 2020 17:45:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 17:30:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 17:15:00 GMT-0700 (Pacific Daylight Time),72
Sun Mar 08 2020 17:00:00 GMT-0700 (Pacific Daylight Time),74
Sun Mar 08 2020 16:45:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 16:30:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 16:15:00 GMT-0700 (Pacific Daylight Time),73
Sun Mar 08 2020 16:00:00 GMT-0700 (Pacific Daylight Time),71
Sun Mar 08 2020 15:45:00 GMT-0700 (Pacific Daylight Time),71
Sun Mar 08 2020 15:30:00 GMT-0700 (Pacific Daylight Time),72
Sun Mar 08 2020 15:15:00 GMT-0700 (Pacific Daylight Time),72
Sun Mar 08 2020 15:00:00 GMT-0700 (Pacific Daylight Time),70
Sun Mar 08 2020 14:45:00 GMT-0700 (Pacific Daylight Time),72
Sun Mar 08 2020 14:30:00 GMT-0700 (Pacific Daylight Time),70
Sun Mar 08 2020 14:15:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 14:00:00 GMT-0700 (Pacific Daylight Time),71
Sun Mar 08 2020 13:45:00 GMT-0700 (Pacific Daylight Time),70
Sun Mar 08 2020 13:30:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 13:15:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 13:00:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 12:45:00 GMT-0700 (Pacific Daylight Time),68
Sun Mar 08 2020 12:30:00 GMT-0700 (Pacific Daylight Time),68
Sun Mar 08 2020 12:15:00 GMT-0700 (Pacific Daylight Time),67
Sun Mar 08 2020 12:00:00 GMT-0700 (Pacific Daylight Time),70
Sun Mar 08 2020 11:45:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 11:30:00 GMT-0700 (Pacific Daylight Time),68
Sun Mar 08 2020 11:15:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 11:00:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 10:45:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 10:30:00 GMT-0700 (Pacific Daylight Time),65
Sun Mar 08 2020 10:15:00 GMT-0700 (Pacific Daylight Time),67
Sun Mar 08 2020 10:00:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 09:45:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 09:30:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 09:15:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 09:00:00 GMT-0700 (Pacific Daylight Time),49
Sun Mar 08 2020 08:45:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 08:30:00 GMT-0700 (Pacific Daylight Time),49
Sun Mar 08 2020 08:15:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 08:00:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 07:45:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 07:30:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 07:15:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 07:00:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 06:45:00 GMT-0700 (Pacific Daylight Time),59
Sun Mar 08 2020 06:30:00 GMT-0700 (Pacific Daylight Time),56
Sun Mar 08 2020 06:15:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 06:00:00 GMT-0700 (Pacific Daylight Time),53
Sun Mar 08 2020 05:45:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 05:30:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 05:15:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 05:00:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 04:45:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 04:30:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 04:15:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 04:00:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 03:45:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 03:30:00 GMT-0700 (Pacific Daylight Time),41
Sun Mar 08 2020 03:15:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 03:00:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 01:45:00 GMT-0800 (Pacific Standard Time),42
Sun Mar 08 2020 01:30:00 GMT-0800 (Pacific Standard Time),43
Sun Mar 08 2020 01:15:00 GMT-0800 (Pacific Standard Time),43
Sun Mar 08 2020 01:00:00 GMT-0800 (Pacific Standard Time),43
Sun Mar 08 2020 00:45:00 GMT-0800 (Pacific Standard Time),44
Sun Mar 08 2020 00:30:00 GMT-0800 (Pacific Standard Time),43
Sun Mar 08 2020 00:15:00 GMT-0800 (Pacific Standard Time),43
Sun Mar 08 2020 00:00:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 23:45:00 GMT-0800 (Pacific Standard Time),46
Sat Mar 07 2020 23:30:00 GMT-0800 (Pacific Standard Time),59
Sat Mar 07 2020 23:15:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 23:00:00 GMT-0800 (Pacific Standard Time),64
Sat Mar 07 2020 22:45:00 GMT-0800 (Pacific Standard Time),64
Sat Mar 07 2020 22:30:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 22:15:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 22:00:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 21:45:00 GMT-0800 (Pacific Standard Time),75
Sat Mar 07 2020 21:30:00 GMT-0800 (Pacific Standard Time),73
Sat Mar 07 2020 21:15:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 21:00:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 20:45:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 20:30:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 20:15:00 GMT-0800 (Pacific Standard Time),75
Sat Mar 07 2020 20:00:00 GMT-0800 (Pacific Standard Time),353
Sat Mar 07 2020 18:45:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 18:30:00 GMT-0800 (Pacific Standard Time),71
Sat Mar 07 2020 18:15:00 GMT-0800 (Pacific Standard Time),74
Sat Mar 07 2020 18:00:00 GMT-0800 (Pacific Standard Time),81
Sat Mar 07 2020 17:45:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 17:30:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 17:15:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 17:00:00 GMT-0800 (Pacific Standard Time),76
Sat Mar 07 2020 16:45:00 GMT-0800 (Pacific Standard Time),79
Sat Mar 07 2020 16:30:00 GMT-0800 (Pacific Standard Time),75
Sat Mar 07 2020 16:15:00 GMT-0800 (Pacific Standard Time),74
Sat Mar 07 2020 16:00:00 GMT-0800 (Pacific Standard Time),74
Sat Mar 07 2020 15:45:00 GMT-0800 (Pacific Standard Time),75
Sat Mar 07 2020 15:30:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 15:15:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 15:00:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 14:45:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 14:30:00 GMT-0800 (Pacific Standard Time),75
Sat Mar 07 2020 14:15:00 GMT-0800 (Pacific Standard Time),74
Sat Mar 07 2020 14:00:00 GMT-0800 (Pacific Standard Time),73
Sat Mar 07 2020 13:45:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 13:30:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 13:15:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 13:00:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 12:45:00 GMT-0800 (Pacific Standard Time),73
Sat Mar 07 2020 12:30:00 GMT-0800 (Pacific Standard Time),71
Sat Mar 07 2020 12:15:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 12:00:00 GMT-0800 (Pacific Standard Time),71
Sat Mar 07 2020 11:45:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 11:30:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 11:15:00 GMT-0800 (Pacific Standard Time),71
Sat Mar 07 2020 11:00:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 10:45:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 10:30:00 GMT-0800 (Pacific Standard Time),72
Sat Mar 07 2020 10:15:00 GMT-0800 (Pacific Standard Time),66
Sat Mar 07 2020 10:00:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 09:45:00 GMT-0800 (Pacific Standard Time),65
Sat Mar 07 2020 09:30:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 09:15:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 09:00:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 08:45:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 08:30:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 08:15:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 08:00:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 07:45:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 07:30:00 GMT-0800 (Pacific Standard Time),68
Sat Mar 07 2020 07:15:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 07:00:00 GMT-0800 (Pacific Standard Time),70
Sat Mar 07 2020 06:45:00 GMT-0800 (Pacific Standard Time),66
Sat Mar 07 2020 06:30:00 GMT-0800 (Pacific Standard Time),64
Sat Mar 07 2020 06:15:00 GMT-0800 (Pacific Standard Time),66
Sat Mar 07 2020 06:00:00 GMT-0800 (Pacific Standard Time),69
Sat Mar 07 2020 05:45:00 GMT-0800 (Pacific Standard Time),73
Sat Mar 07 2020 05:30:00 GMT-0800 (Pacific Standard Time),61
Sat Mar 07 2020 05:15:00 GMT-0800 (Pacific Standard Time),59
Sat Mar 07 2020 05:00:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 04:45:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 04:30:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 04:15:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 04:00:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 03:45:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 03:30:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 03:15:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 03:00:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 02:45:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 02:30:00 GMT-0800 (Pacific Standard Time),59
Sat Mar 07 2020 02:15:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 02:00:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 01:45:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 01:30:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 01:15:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 01:00:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 00:45:00 GMT-0800 (Pacific Standard Time),59
Sat Mar 07 2020 00:30:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 00:15:00 GMT-0800 (Pacific Standard Time),60
Sat Mar 07 2020 00:00:00 GMT-0800 (Pacific Standard Time),58
Fri Mar 06 2020 23:45:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 23:30:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 23:15:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 23:00:00 GMT-0800 (Pacific Standard Time),67
Fri Mar 06 2020 22:45:00 GMT-0800 (Pacific Standard Time),68
Fri Mar 06 2020 22:30:00 GMT-0800 (Pacific Standard Time),67
Fri Mar 06 2020 22:15:00 GMT-0800 (Pacific Standard Time),69
Fri Mar 06 2020 22:00:00 GMT-0800 (Pacific Standard Time),69
Fri Mar 06 2020 21:45:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 21:30:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 21:15:00 GMT-0800 (Pacific Standard Time),70
Fri Mar 06 2020 21:00:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 20:45:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 20:30:00 GMT-0800 (Pacific Standard Time),70
Fri Mar 06 2020 20:15:00 GMT-0800 (Pacific Standard Time),70
Fri Mar 06 2020 20:00:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 19:45:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 19:30:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 19:15:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 19:00:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 18:45:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 18:30:00 GMT-0800 (Pacific Standard Time),73
Fri Mar 06 2020 18:15:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 18:00:00 GMT-0800 (Pacific Standard Time),75
Fri Mar 06 2020 17:45:00 GMT-0800 (Pacific Standard Time),76
Fri Mar 06 2020 17:30:00 GMT-0800 (Pacific Standard Time),77
Fri Mar 06 2020 17:15:00 GMT-0800 (Pacific Standard Time),79
Fri Mar 06 2020 17:00:00 GMT-0800 (Pacific Standard Time),82
Fri Mar 06 2020 16:45:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 16:30:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 16:15:00 GMT-0800 (Pacific Standard Time),83
Fri Mar 06 2020 16:00:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 15:45:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 15:30:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 15:15:00 GMT-0800 (Pacific Standard Time),86
Fri Mar 06 2020 15:00:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 14:45:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 14:30:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 14:15:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 14:00:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 13:45:00 GMT-0800 (Pacific Standard Time),82
Fri Mar 06 2020 13:30:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 13:15:00 GMT-0800 (Pacific Standard Time),82
Fri Mar 06 2020 13:00:00 GMT-0800 (Pacific Standard Time),83
Fri Mar 06 2020 12:45:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 12:30:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 12:15:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 12:00:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 11:45:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 11:30:00 GMT-0800 (Pacific Standard Time),87
Fri Mar 06 2020 11:15:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 11:00:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 10:45:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 10:30:00 GMT-0800 (Pacific Standard Time),86
Fri Mar 06 2020 10:15:00 GMT-0800 (Pacific Standard Time),84
Fri Mar 06 2020 10:00:00 GMT-0800 (Pacific Standard Time),81
Fri Mar 06 2020 09:45:00 GMT-0800 (Pacific Standard Time),85
Fri Mar 06 2020 09:30:00 GMT-0800 (Pacific Standard Time),81
Fri Mar 06 2020 09:15:00 GMT-0800 (Pacific Standard Time),74
Fri Mar 06 2020 09:00:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 08:45:00 GMT-0800 (Pacific Standard Time),73
Fri Mar 06 2020 08:30:00 GMT-0800 (Pacific Standard Time),77
Fri Mar 06 2020 08:15:00 GMT-0800 (Pacific Standard Time),77
Fri Mar 06 2020 08:00:00 GMT-0800 (Pacific Standard Time),73
Fri Mar 06 2020 07:45:00 GMT-0800 (Pacific Standard Time),73
Fri Mar 06 2020 07:30:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 07:15:00 GMT-0800 (Pacific Standard Time),69
Fri Mar 06 2020 07:00:00 GMT-0800 (Pacific Standard Time),72
Fri Mar 06 2020 06:45:00 GMT-0800 (Pacific Standard Time),65
Fri Mar 06 2020 06:30:00 GMT-0800 (Pacific Standard Time),65
Fri Mar 06 2020 06:15:00 GMT-0800 (Pacific Standard Time),66
Fri Mar 06 2020 06:00:00 GMT-0800 (Pacific Standard Time),68
Fri Mar 06 2020 05:45:00 GMT-0800 (Pacific Standard Time),73
Fri Mar 06 2020 05:30:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 05:15:00 GMT-0800 (Pacific Standard Time),60
Fri Mar 06 2020 05:00:00 GMT-0800 (Pacific Standard Time),57
Fri Mar 06 2020 04:45:00 GMT-0800 (Pacific Standard Time),58
Fri Mar 06 2020 04:30:00 GMT-0800 (Pacific Standard Time),58
Fri Mar 06 2020 04:15:00 GMT-0800 (Pacific Standard Time),58
Fri Mar 06 2020 04:00:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 03:45:00 GMT-0800 (Pacific Standard Time),59
